contractId,stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,transaction_time,securityName
2026043005000001,CIT,42,6,50,1780.0,89000.0,2026-04-30,188625966,210,Sani Securities Company Ltd.,Agrawal Securities (PVT) Ltd.,2026-04-30 10:46:00.013085,Citizen Investment Trust
2026043005000002,CIT,26,6,20,1780.0,35600.0,2026-04-30,188625968,210,Asian Securities Private Ltd.,Agrawal Securities (PVT) Ltd.,2026-04-30 10:46:00.013168,Citizen Investment Trust
2026043005000446,CIT,48,19,10,1774.0,17740.0,2026-04-30,188631280,210,Trishakti Securities Public Limited,Nepal Investment And Securities Trading Private Limited,2026-04-30 11:08:05.358447,Citizen Investment Trust
2026043005000560,CIT,35,6,30,1770.0,53100.0,2026-04-30,188632868,210,Kohinoor Investment & Securities Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,2026-04-30 11:10:23.680404,Citizen Investment Trust
2026043005000561,CIT,58,6,10,1765.0,17650.0,2026-04-30,188632870,210,Naasa Securities Co. Ltd.,Agrawal Securities (PVT) Ltd.,2026-04-30 11:10:23.680503,Citizen Investment Trust
2026043005000562,CIT,1,6,10,1765.0,17650.0,2026-04-30,188632871,210,Kumari Securities Private Limited,Agrawal Securities (PVT) Ltd.,2026-04-30 11:10:23.680542,Citizen Investment Trust
2026043005000606,CIT,1,45,11,1765.0,19415.0,2026-04-30,188633381,210,Kumari Securities Private Limited,Imperial Securities Company Pvt. Ltd.,2026-04-30 11:11:05.032589,Citizen Investment Trust
2026043005000730,CIT,82,19,10,1764.1,17641.0,2026-04-30,188635507,210,N.M.B. SECURITIES LIMITED,Nepal Investment And Securities Trading Private Limited,2026-04-30 11:13:31.445718,Citizen Investment Trust
2026043005000873,CIT,82,35,156,1764.1,275199.6,2026-04-30,188636616,210,N.M.B. SECURITIES LIMITED,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-30 11:14:34.206360,Citizen Investment Trust
2026043005000874,CIT,58,35,10,1763.0,17630.0,2026-04-30,188636618,210,Naasa Securities Co. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-30 11:14:34.206464,Citizen Investment Trust
2026043005000875,CIT,74,35,128,1760.0,225280.0,2026-04-30,188636620,210,KALASH STOCK MARKET PVT. LTD.,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-30 11:14:34.206522,Citizen Investment Trust
2026043005000876,CIT,5,35,20,1760.0,35200.0,2026-04-30,188636622,210,Market Securities & Exchange (PVT) Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-30 11:14:34.206575,Citizen Investment Trust
2026043005000877,CIT,42,35,50,1760.0,88000.0,2026-04-30,188636624,210,Sani Securities Company Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-30 11:14:34.206614,Citizen Investment Trust
